"P0",,,,,"P1",,,,"P2",,,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]"
80,3.48639,13.1489,0.160334,0.772813,3.5463,11.6245,0.13215,0.836633,5.10013,11.6548,0.132253,0.79688
81,3.48639,13.1489,0.161909,0.783779,3.5463,11.6245,0.132818,0.848892,5.10013,11.6548,0.13272,0.808088
82,3.48639,13.1489,0.164214,0.796732,3.5463,11.6245,0.13413,0.863094,5.10013,11.6548,0.134348,0.820924
83,3.48639,13.1489,0.165247,0.802375,3.5463,11.6245,0.134331,0.869731,5.10013,11.6548,0.134486,0.826478
84,3.48639,13.1489,0.166424,0.812853,3.5463,11.6245,0.134975,0.881428,5.10013,11.6548,0.135104,0.836416
85,3.48639,13.1489,0.168911,0.820928,3.5463,11.6245,0.136213,0.891198,5.10013,11.6548,0.136105,0.84446
86,3.48639,13.1489,0.172333,0.838009,3.5463,11.6245,0.136257,0.903298,5.10013,11.6548,0.136197,0.853891
87,3.48639,13.1489,0.173648,0.848978,3.5463,11.6245,0.136447,0.914569,5.10013,11.6548,0.136186,0.863431
88,3.48639,13.1489,0.172038,0.858705,3.5463,11.6245,0.133483,0.924772,5.10013,11.6548,0.133817,0.872286
89,3.48639,13.1489,0.175353,0.862158,3.5463,11.6245,0.135539,0.928748,5.10013,11.6548,0.135093,0.874979
90,3.48639,13.1489,0.17931,0.872105,3.5463,11.6245,0.138524,0.938856,5.10013,11.6548,0.138331,0.884061
91,3.48639,13.1489,0.179079,0.879473,3.5463,11.6245,0.137561,0.946851,5.10013,11.6548,0.137234,0.89102
92,3.48639,13.1489,0.180653,0.886216,3.5463,11.6245,0.138141,0.95394,5.10013,11.6548,0.137717,0.897355
93,3.48639,13.1489,0.182003,0.892615,3.5463,11.6245,0.138343,0.961085,5.10013,11.6548,0.138362,0.903273
94,3.48639,13.1489,0.183775,0.893951,3.5463,11.6245,0.139114,0.96303,5.10013,11.6548,0.138696,0.903818
95,3.48639,13.1489,0.186134,0.897198,3.5463,11.6245,0.140819,0.966923,5.10013,11.6548,0.14018,0.906933
96,3.48639,13.1489,0.18699,0.906328,3.5463,11.6245,0.141283,0.976135,5.10013,11.6548,0.141145,0.915745
97,3.48639,13.1489,0.185434,0.920391,3.5463,11.6245,0.139885,0.99061,5.10013,11.6548,0.139586,0.930549
98,3.48639,13.1489,0.185061,0.928096,3.5463,11.6245,0.13945,0.99857,5.10013,11.6548,0.139239,0.938213
99,3.48639,13.1489,0.186355,0.922019,3.5463,11.6245,0.140513,0.992633,5.10013,11.6548,0.140385,0.931899
100,3.48639,13.1489,0.186777,0.91545,3.5463,11.6245,0.140567,0.986151,5.10013,11.6548,0.14039,0.924967
101,3.48639,13.1489,0.190143,0.914548,3.5463,11.6245,0.143711,0.985272,5.10013,11.6548,0.143283,0.923411
102,3.48639,13.1489,0.188434,0.918252,3.5463,11.6245,0.141475,0.989429,5.10013,11.6548,0.141176,0.927153
103,3.48639,13.1489,0.191413,0.926162,3.5463,11.6245,0.143714,0.997379,5.10013,11.6548,0.143443,0.934166
104,3.48639,13.1489,0.1917,0.927977,3.5463,11.6245,0.144304,0.99968,5.10013,11.6548,0.14348,0.936021
105,3.48639,13.1489,0.192185,0.932267,3.5463,11.6245,0.144486,1.00396,5.10013,11.6548,0.143841,0.939666
106,3.48639,13.1489,0.19359,0.938959,3.5463,11.6245,0.145609,1.01124,5.10013,11.6548,0.144789,0.946254
107,3.48639,13.1489,0.19455,0.942443,3.5463,11.6245,0.145943,1.01524,5.10013,11.6548,0.145148,0.949403
108,3.48639,13.1489,0.194426,0.947919,3.5463,11.6245,0.145317,1.02106,5.10013,11.6548,0.144688,0.954361
109,3.48639,13.1489,0.195768,0.955845,3.5463,11.6245,0.146565,1.02928,5.10013,11.6548,0.145838,0.961974
110,3.48639,13.1489,0.196034,0.962661,3.5463,11.6245,0.146274,1.03645,5.10013,11.6548,0.145593,0.96839
111,3.48639,13.1489,0.196088,0.96754,3.5463,11.6245,0.146108,1.04166,5.10013,11.6548,0.145221,0.972514
112,3.48639,13.1489,0.198081,0.972649,3.5463,11.6245,0.147506,1.04711,5.10013,11.6548,0.146579,0.977227
113,3.48639,13.1489,0.198806,0.978544,3.5463,11.6245,0.147691,1.05355,5.10013,11.6548,0.146419,0.982956
114,3.48639,13.1489,0.198931,0.98201,3.5463,11.6245,0.147022,1.05752,5.10013,11.6548,0.145698,0.985762
115,3.48639,13.1489,0.201131,0.984214,3.5463,11.6245,0.149142,1.05958,5.10013,11.6548,0.148061,0.986875
116,3.48639,13.1489,0.200678,0.98201,3.5463,11.6245,0.148395,1.05888,5.10013,11.6548,0.146976,0.986182
117,3.48639,13.1489,0.201208,0.974674,3.5463,11.6245,0.148204,1.05271,5.10013,11.6548,0.147119,0.98025
118,3.48639,13.1489,0.204087,0.972177,3.5463,11.6245,0.15098,1.05126,5.10013,11.6548,0.149772,0.978607
119,3.48639,13.1489,0.205332,0.972271,3.5463,11.6245,0.151396,1.05232,5.10013,11.6548,0.150938,0.979816
120,3.48639,13.1489,0.206537,0.976645,3.5463,11.6245,0.152723,1.05797,5.10013,11.6548,0.151564,0.985187
121,3.48639,13.1489,0.208781,0.980843,3.5463,11.6245,0.154554,1.06372,5.10013,11.6548,0.153354,0.990559
122,3.48639,13.1489,0.210026,0.984865,3.5463,11.6245,0.155497,1.06897,5.10013,11.6548,0.154307,0.995878
123,3.48639,13.1489,0.213152,0.991687,3.5463,11.6245,0.157837,1.07772,5.10013,11.6548,0.156569,1.00472
124,3.48639,13.1489,0.214176,0.997716,3.5463,11.6245,0.158488,1.08631,5.10013,11.6548,0.15718,1.01323
125,3.48639,13.1489,0.21721,1.0021,3.5463,11.6245,0.160782,1.09365,5.10013,11.6548,0.159522,1.02147
126,3.48639,13.1489,0.220945,0.999824,3.5463,11.6245,0.16426,1.09499,5.10013,11.6548,0.163215,1.02366
127,3.48639,13.1489,0.220971,1.00277,3.5463,11.6245,0.164324,1.10122,5.10013,11.6548,0.163216,1.03061
128,3.48639,13.1489,0.22315,1.00671,3.5463,11.6245,0.166216,1.10852,5.10013,11.6548,0.165083,1.03867
129,3.48639,13.1489,0.223525,1.0093,3.5463,11.6245,0.166455,1.11482,5.10013,11.6548,0.165669,1.04557
130,3.48639,13.1489,0.22503,1.00941,3.5463,11.6245,0.167751,1.11822,5.10013,11.6548,0.167011,1.04944
131,3.48639,13.1489,0.227902,1.01066,3.5463,11.6245,0.170721,1.12325,5.10013,11.6548,0.169731,1.05496
132,3.48639,13.1489,0.231719,1.01498,3.5463,11.6245,0.174035,1.13213,5.10013,11.6548,0.173183,1.06398
133,3.48639,13.1489,0.235602,1.0205,3.5463,11.6245,0.177424,1.14377,5.10013,11.6548,0.17583,1.07483
134,3.48639,13.1489,0.238058,1.0226,3.5463,11.6245,0.179328,1.15245,5.10013,11.6548,0.177433,1.08321
135,3.48639,13.1489,0.24201,1.02447,3.5463,11.6245,0.183129,1.16124,,,,
136,3.48639,13.1489,0.244856,1.02775,3.5463,11.6245,0.18573,1.17096,5.10013,11.6548,0.182717,1.10039
137,3.48639,13.1489,0.245832,1.03011,3.5463,11.6245,0.186563,1.17969,5.10013,11.6548,0.18303,1.10787
138,3.48639,13.1489,0.247034,1.03371,3.5463,11.6245,0.187394,1.18861,,,,
139,3.48639,13.1489,0.24628,1.03728,3.5463,11.6245,0.186645,1.19687,,,,
140,3.48639,13.1489,0.247238,1.03897,3.5463,11.6245,0.187622,1.20281,,,,
141,3.48639,13.1489,0.247358,1.04292,3.5463,11.6245,0.187816,1.21016,,,,
142,3.48639,13.1489,0.246682,1.04876,3.5463,11.6245,0.186814,1.21857,5.10013,11.6548,0.181039,1.14392
143,3.48639,13.1489,0.247879,1.05377,3.5463,11.6245,0.187944,1.22654,5.10013,11.6548,0.180859,1.15181
144,3.48639,13.1489,0.244892,1.05622,3.5463,11.6245,0.184811,1.23154,,,,
145,3.48639,13.1489,0.245407,1.05846,3.5463,11.6245,0.185159,1.23618,,,,
146,3.48639,13.1489,0.243045,1.07081,3.5463,11.6245,0.183589,1.24943,,,,
147,3.48639,13.1489,0.242435,1.07715,3.5463,11.6245,0.182755,1.25754,,,,
148,3.48639,13.1489,0.239083,1.0812,3.5463,11.6245,0.179567,1.26318,,,,
149,3.48639,13.1489,0.242844,1.08145,3.5463,11.6245,0.18264,1.26484,,,,
150,3.48639,13.1489,0.24348,1.08056,3.5463,11.6245,0.183235,1.26543,,,,
151,3.48639,13.1489,0.241994,1.07961,3.5463,11.6245,0.181495,1.26616,,,,
152,3.48639,13.1489,0.241231,1.07779,3.5463,11.6245,0.180644,1.26563,,,,
153,3.48639,13.1489,0.239842,1.07748,3.5463,11.6245,0.179436,1.26685,,,,
154,3.48639,13.1489,0.2395,1.07809,3.5463,11.6245,0.179084,1.26911,,,,
155,3.48639,13.1489,0.238549,1.0792,3.5463,11.6245,0.177539,1.27158,,,,
156,,,,,3.5463,11.6245,0.17634,1.27394,,,,
157,3.48639,13.1489,0.236212,1.08192,3.5463,11.6245,0.175186,1.27675,,,,
158,3.48639,13.1489,0.233929,1.08345,3.5463,11.6245,0.173006,1.27946,,,,
159,3.48639,13.1489,0.232339,1.08448,3.5463,11.6245,0.171326,1.28174,,,,
